,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
154,ROOFTOP,"9500 Euclid Ave # P57, Cleveland, OH 44195, USA",ChIJUXh0BJn7MIgR7PRxGoWWe7Q,MUZINA,41.5026388,-81.6210615,2,44195,OK,"doctor,establishment,health,point_of_interest"
155,ROOFTOP,"1714 E Idahome St, West Covina, CA 91791, USA",ChIJrySAZTEow4AR9J-CqovHLfs,MUZJLA,34.0744326,-117.9093356,1,91791,OK,"establishment,point_of_interest,store"
156,APPROXIMATE,"Muzlja, Zrenjanin, Serbia",ChIJSWz_5VzDWkcRuU7db_EUGvg,MUZLJA,45.3460493,20.4008266,1,,OK,"neighborhood,political"
157,ROOFTOP,"Lot 69, 241-245, Jalan Pintu Pong, Seksyen 8, 15000 Kota Bharu, Kelantan, Malaysia",ChIJy0N2s8-vtjERT_vru6iFxGo,MYDIN,6.130447999999999,102.241499,2,15000,OK,"establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket"
158,,,,MYEAT,,,0,,ZERO_RESULTS,
159,,,,MYOUI,,,0,,ZERO_RESULTS,
160,APPROXIMATE,"Myslowice, Poland",ChIJDSpasl7EFkcR7Vi7jGovswU,MYSLOWITZ,50.2080466,19.1660513,1,41,OK,"locality,political"
161,GEOMETRIC_CENTER,"Magorofani Street, Tanzania",ChIJg75Pyq9oWhgRC-UEDjkUghs,MZABBE,-6.9239348,37.5690808,1,,OK,"establishment,point_of_interest,university"
162,,,,MZBLE,,,0,,ZERO_RESULTS,
163,APPROXIMATE,"Bzoummar, Lebanon",ChIJu0ITdx1HHxURisZhPWsEfaQ,MZOUMMAR,33.9872473,35.6828158,1,,OK,"administrative_area_level_3,political"
164,,,,MZRLA LUZA,,,0,,ZERO_RESULTS,
165,ROOFTOP,"n, 3534 W Touhy Ave, Skokie, IL 60076, USA",ChIJM7chc0rOD4gREi1pT594rhI,N,42.0123816,-87.7176849,1,60076,OK,premise
166,APPROXIMATE,"Chir, Algeria",ChIJcZHGcHE39BIRENPJHugfAf8,N CHIR,35.2135627,6.131492799999999,1,,OK,"locality,political"
167,,,,N KANGILIN,,,0,,ZERO_RESULTS,
168,,,,N KANGIZE,,,0,,ZERO_RESULTS,
